identifier,grouping,county,keyhealthindicator,date,cases_rate
Isiolo_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Isiolo,Measles doses in stock at the beginning of the Month,02/01/2020,1420
Isiolo_Measles doses received within the Month_2020/February,2-Immunization,Isiolo,Measles doses received within the Month,02/01/2020,3090
Isiolo_Measles doses remaining  at the end Month_2020/February,2-Immunization,Isiolo,Measles doses remaining  at the end Month,02/01/2020,3276
Isiolo_Measles_2020/February,3-Cases Reported,Isiolo,Measles,02/01/2020,0
Kajiado_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kajiado,Measles-Rubella 1 doses Administered,02/01/2020,2612
Kajiado_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kajiado,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,991
Kajiado_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kajiado,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,28
Kajiado_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kajiado,Measles doses in stock at the beginning of the Month,02/01/2020,7433
Kajiado_Measles doses received within the Month_2020/February,2-Immunization,Kajiado,Measles doses received within the Month,02/01/2020,7680
Kajiado_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kajiado,Measles doses remaining  at the end Month,02/01/2020,7483
Kajiado_Measles_2020/February,3-Cases Reported,Kajiado,Measles,02/01/2020,19
Kakamega_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kakamega,Measles-Rubella 1 doses Administered,02/01/2020,1839
Kakamega_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kakamega,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,670
Kakamega_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kakamega,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,36
Kakamega_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kakamega,Measles doses in stock at the beginning of the Month,02/01/2020,1482
Kakamega_Measles doses received within the Month_2020/February,2-Immunization,Kakamega,Measles doses received within the Month,02/01/2020,25657
Kakamega_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kakamega,Measles doses remaining  at the end Month,02/01/2020,21999
Kakamega_Measles_2020/February,3-Cases Reported,Kakamega,Measles,02/01/2020,12
Kericho_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kericho,Measles-Rubella 1 doses Administered,02/01/2020,562
Kericho_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kericho,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,225
Kericho_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kericho,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,7
Kericho_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kericho,Measles doses in stock at the beginning of the Month,02/01/2020,2455
Kericho_Measles doses received within the Month_2020/February,2-Immunization,Kericho,Measles doses received within the Month,02/01/2020,4120
Kericho_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kericho,Measles doses remaining  at the end Month,02/01/2020,4041
Kericho_Measles_2020/February,3-Cases Reported,Kericho,Measles,02/01/2020,3
Kiambu_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kiambu,Measles-Rubella 1 doses Administered,02/01/2020,4623
Kiambu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kiambu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,2679
Kiambu_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kiambu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,24
Kiambu_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kiambu,Measles doses in stock at the beginning of the Month,02/01/2020,7719
Kiambu_Measles doses received within the Month_2020/February,2-Immunization,Kiambu,Measles doses received within the Month,02/01/2020,19170
Kiambu_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kiambu,Measles doses remaining  at the end Month,02/01/2020,15494
Kiambu_Measles_2020/February,3-Cases Reported,Kiambu,Measles,02/01/2020,12
Kilifi_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kilifi,Measles-Rubella 1 doses Administered,02/01/2020,2461
Kilifi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kilifi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,925
Kilifi_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kilifi,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,22
Kilifi_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kilifi,Measles doses in stock at the beginning of the Month,02/01/2020,710
Kilifi_Measles doses received within the Month_2020/February,2-Immunization,Kilifi,Measles doses received within the Month,02/01/2020,18010
Kilifi_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kilifi,Measles doses remaining  at the end Month,02/01/2020,12988
Kilifi_Measles_2020/February,3-Cases Reported,Kilifi,Measles,02/01/2020,20
Kirinyaga_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kirinyaga,Measles-Rubella 1 doses Administered,02/01/2020,658
Kirinyaga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,485
Kirinyaga_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,0
Kirinyaga_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kirinyaga,Measles doses in stock at the beginning of the Month,02/01/2020,1590
Kirinyaga_Measles doses received within the Month_2020/February,2-Immunization,Kirinyaga,Measles doses received within the Month,02/01/2020,2630
Kirinyaga_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kirinyaga,Measles doses remaining  at the end Month,02/01/2020,2383
Kirinyaga_Measles_2020/February,3-Cases Reported,Kirinyaga,Measles,02/01/2020,0
Kisii_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kisii,Measles-Rubella 1 doses Administered,02/01/2020,1341
Kisii_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kisii,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,623
Kisii_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kisii,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,7
Kisii_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kisii,Measles doses in stock at the beginning of the Month,02/01/2020,621
Kisii_Measles doses received within the Month_2020/February,2-Immunization,Kisii,Measles doses received within the Month,02/01/2020,24880
Kisii_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kisii,Measles doses remaining  at the end Month,02/01/2020,12294
Kisii_Measles_2020/February,3-Cases Reported,Kisii,Measles,02/01/2020,11
Kisumu_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kisumu,Measles-Rubella 1 doses Administered,02/01/2020,701
Kisumu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kisumu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,163
Kisumu_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kisumu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,15
Kisumu_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kisumu,Measles doses in stock at the beginning of the Month,02/01/2020,1220
Kisumu_Measles doses received within the Month_2020/February,2-Immunization,Kisumu,Measles doses received within the Month,02/01/2020,6450
Kisumu_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kisumu,Measles doses remaining  at the end Month,02/01/2020,6150
Kisumu_Measles_2020/February,3-Cases Reported,Kisumu,Measles,02/01/2020,15
Kitui_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kitui,Measles-Rubella 1 doses Administered,02/01/2020,1805
Kitui_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kitui,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,987
Kitui_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kitui,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,18
Kitui_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kitui,Measles doses in stock at the beginning of the Month,02/01/2020,4477
Kitui_Measles doses received within the Month_2020/February,2-Immunization,Kitui,Measles doses received within the Month,02/01/2020,8518
Kitui_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kitui,Measles doses remaining  at the end Month,02/01/2020,8233
Kitui_Measles_2020/February,3-Cases Reported,Kitui,Measles,02/01/2020,5
Kwale_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Kwale,Measles-Rubella 1 doses Administered,02/01/2020,1703
Kwale_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Kwale,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,754
Kwale_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Kwale,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,22
Kwale_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Kwale,Measles doses in stock at the beginning of the Month,02/01/2020,370
Kwale_Measles doses received within the Month_2020/February,2-Immunization,Kwale,Measles doses received within the Month,02/01/2020,17840
Kwale_Measles doses remaining  at the end Month_2020/February,2-Immunization,Kwale,Measles doses remaining  at the end Month,02/01/2020,14513
Kwale_Measles_2020/February,3-Cases Reported,Kwale,Measles,02/01/2020,0
Laikipia_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Laikipia,Measles-Rubella 1 doses Administered,02/01/2020,825
Laikipia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Laikipia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,446
Laikipia_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Laikipia,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,1
Laikipia_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Laikipia,Measles doses in stock at the beginning of the Month,02/01/2020,840
Laikipia_Measles doses received within the Month_2020/February,2-Immunization,Laikipia,Measles doses received within the Month,02/01/2020,5370
Laikipia_Measles doses remaining  at the end Month_2020/February,2-Immunization,Laikipia,Measles doses remaining  at the end Month,02/01/2020,4210
Laikipia_Measles_2020/February,3-Cases Reported,Laikipia,Measles,02/01/2020,28
Lamu_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Lamu,Measles-Rubella 1 doses Administered,02/01/2020,350
Lamu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Lamu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,159
Lamu_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Lamu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,7
Lamu_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Lamu,Measles doses in stock at the beginning of the Month,02/01/2020,890
Lamu_Measles doses received within the Month_2020/February,2-Immunization,Lamu,Measles doses received within the Month,02/01/2020,1600
Lamu_Measles doses remaining  at the end Month_2020/February,2-Immunization,Lamu,Measles doses remaining  at the end Month,02/01/2020,1230
Lamu_Measles_2020/February,3-Cases Reported,Lamu,Measles,02/01/2020,0
Machakos_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Machakos,Measles-Rubella 1 doses Administered,02/01/2020,2181
Machakos_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Machakos,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,1542
Machakos_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Machakos,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,21
Machakos_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Machakos,Measles doses in stock at the beginning of the Month,02/01/2020,4140
Machakos_Measles doses received within the Month_2020/February,2-Immunization,Machakos,Measles doses received within the Month,02/01/2020,7880
Machakos_Measles doses remaining  at the end Month_2020/February,2-Immunization,Machakos,Measles doses remaining  at the end Month,02/01/2020,5362
Machakos_Measles_2020/February,3-Cases Reported,Machakos,Measles,02/01/2020,10
Siaya_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Siaya,Measles-Rubella 1 doses Administered,02/01/2020,732
Siaya_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Siaya,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,232
Siaya_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Siaya,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,3
Siaya_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Siaya,Measles doses in stock at the beginning of the Month,02/01/2020,657
Siaya_Measles doses received within the Month_2020/February,2-Immunization,Siaya,Measles doses received within the Month,02/01/2020,13140
Siaya_Measles doses remaining  at the end Month_2020/February,2-Immunization,Siaya,Measles doses remaining  at the end Month,02/01/2020,12292
Siaya_Measles_2020/February,3-Cases Reported,Siaya,Measles,02/01/2020,6
Samburu_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Samburu,Measles-Rubella 1 doses Administered,02/01/2020,707
Samburu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Samburu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,177
Samburu_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Samburu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,3
Samburu_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Samburu,Measles doses in stock at the beginning of the Month,02/01/2020,2540
Samburu_Measles doses received within the Month_2020/February,2-Immunization,Samburu,Measles doses received within the Month,02/01/2020,1460
Samburu_Measles doses remaining  at the end Month_2020/February,2-Immunization,Samburu,Measles doses remaining  at the end Month,02/01/2020,2190
Samburu_Measles_2020/February,3-Cases Reported,Samburu,Measles,02/01/2020,0
Nyeri_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Nyeri,Measles-Rubella 1 doses Administered,02/01/2020,1050
Nyeri_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Nyeri,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,649
Nyeri_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Nyeri,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,13
Nyeri_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Nyeri,Measles doses in stock at the beginning of the Month,02/01/2020,2020
Nyeri_Measles doses received within the Month_2020/February,2-Immunization,Nyeri,Measles doses received within the Month,02/01/2020,10130
Nyeri_Measles doses remaining  at the end Month_2020/February,2-Immunization,Nyeri,Measles doses remaining  at the end Month,02/01/2020,9557
Nyeri_Measles_2020/February,3-Cases Reported,Nyeri,Measles,02/01/2020,0
Nyandarua_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Nyandarua,Measles-Rubella 1 doses Administered,02/01/2020,515
Nyandarua_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,441
Nyandarua_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,4
Nyandarua_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Nyandarua,Measles doses in stock at the beginning of the Month,02/01/2020,711
Nyandarua_Measles doses received within the Month_2020/February,2-Immunization,Nyandarua,Measles doses received within the Month,02/01/2020,6864
Nyandarua_Measles doses remaining  at the end Month_2020/February,2-Immunization,Nyandarua,Measles doses remaining  at the end Month,02/01/2020,5890
